,,corr
tot_rooms_above_ground,age_garage_when_sold,0.14997298779431667
2nd_floor_sq_ft,age_house_when_sold,0.14181743530451507
age_house_when_sold,2nd_floor_sq_ft,0.14181743530451507
2nd_floor_sq_ft,garage_area,0.13834695857186657
garage_area,2nd_floor_sq_ft,0.13834695857186657
basement_full_bath,fireplaces,0.1379277084271981
fireplaces,basement_full_bath,0.1379277084271981
basement_finished_sq_ft_1,2nd_floor_sq_ft,0.13707898608005356
2nd_floor_sq_ft,basement_finished_sq_ft_1,0.13707898608005356
full_bath,half_bath,0.13638058874914522
half_bath,full_bath,0.13638058874914522
fireplace_qu_missing,age_garage_when_sold,0.1339663977466151
age_garage_when_sold,fireplace_qu_missing,0.1339663977466151
kitchen_above_ground,full_bath,0.1331152141960393
full_bath,kitchen_above_ground,0.1331152141960393
basement_unf_sq_ft,lot_frontage,0.13264374162493364
lot_frontage,basement_unf_sq_ft,0.13264374162493364
garage_cars,basement_full_bath,0.13188122440619438
basement_full_bath,garage_cars,0.13188122440619438
open_porch_sq_ft,basement_unf_sq_ft,0.12900541461542128
basement_unf_sq_ft,open_porch_sq_ft,0.12900541461542128
age_house_when_sold,basement_finished_sq_ft_1,0.12742879074607374
basement_finished_sq_ft_1,age_house_when_sold,0.12742879074607374
bedroom_above_ground,1st_floor_sq_ft,0.12740074939236454
1st_floor_sq_ft,bedroom_above_ground,0.12740074939236454
lot_area,full_bath,0.1260306265196436
full_bath,lot_area,0.1260306265196436
enclosed_porch,wood_deck_sq_ft,0.1259888880376007
wood_deck_sq_ft,enclosed_porch,0.1259888880376007
masonry_veneer_area,open_porch_sq_ft,0.1257027966825031
open_porch_sq_ft,masonry_veneer_area,0.1257027966825031
kitchen_above_ground,age_garage_when_sold,0.1246667139383478
age_garage_when_sold,kitchen_above_ground,0.1246667139383478
fireplaces,kitchen_above_ground,0.12393623529689729
kitchen_above_ground,fireplaces,0.12393623529689729
garage_area,enclosed_porch,0.1217767195610043
enclosed_porch,garage_area,0.1217767195610043
basement_full_bath,age_garage_when_sold,0.12073641141391196
age_garage_when_sold,basement_full_bath,0.12073641141391196
garage_type_missing,masonry_veneer_area,0.12073462152412039
masonry_veneer_area,garage_quality_missing,0.12073462152412039
garage_finish_missing,masonry_veneer_area,0.12073462152412039
garage_condition_missing,masonry_veneer_area,0.12073462152412039
garage_quality_missing,masonry_veneer_area,0.12073462152412039
masonry_veneer_area,garage_year_built_missing,0.12073462152412039
masonry_veneer_area,garage_finish_missing,0.12073462152412039
masonry_veneer_area,garage_type_missing,0.12073462152412039
garage_year_built_missing,masonry_veneer_area,0.12073462152412039
masonry_veneer_area,garage_condition_missing,0.12073462152412039
half_bath,1st_floor_sq_ft,0.11991590879396136
1st_floor_sq_ft,half_bath,0.11991590879396136
lot_area,bedroom_above_ground,0.11968990815131542
bedroom_above_ground,lot_area,0.11968990815131542
basement_full_bath,age_house_when_sold,0.1151507770124269
age_house_when_sold,basement_full_bath,0.1151507770124269
enclosed_porch,full_bath,0.11509296346134239
full_bath,enclosed_porch,0.11509296346134239
garage_condition_missing,age_house_when_sold,0.11456215268474709
garage_finish_missing,age_house_when_sold,0.11456215268474709
age_house_when_sold,garage_finish_missing,0.11456215268474709
garage_year_built_missing,age_house_when_sold,0.11456215268474709
age_house_when_sold,garage_year_built_missing,0.11456215268474709
age_house_when_sold,garage_quality_missing,0.11456215268474709
garage_quality_missing,age_house_when_sold,0.11456215268474709
age_house_when_sold,garage_condition_missing,0.11456215268474709
age_house_when_sold,garage_type_missing,0.11456215268474709
garage_type_missing,age_house_when_sold,0.11456215268474709
basement_unf_sq_ft,masonry_veneer_area,0.11444206231380821
masonry_veneer_area,basement_unf_sq_ft,0.11444206231380821
age_house_when_sold,fireplaces,0.11414201568139966
fireplaces,age_house_when_sold,0.11414201568139966
overall_quality,enclosed_porch,0.11393685859568162
enclosed_porch,overall_quality,0.11393685859568162
garage_finish_missing,full_bath,0.11284618053309353
full_bath,garage_year_built_missing,0.11284618053309353
garage_condition_missing,full_bath,0.11284618053309353
garage_type_missing,full_bath,0.11284618053309353
garage_year_built_missing,full_bath,0.11284618053309353
full_bath,garage_condition_missing,0.11284618053309353
full_bath,garage_quality_missing,0.11284618053309353
full_bath,garage_type_missing,0.11284618053309353
garage_quality_missing,full_bath,0.11284618053309353
full_bath,garage_finish_missing,0.11284618053309353
open_porch_sq_ft,basement_finished_sq_ft_1,0.11176061335675101
basement_finished_sq_ft_1,open_porch_sq_ft,0.11176061335675101
basement_full_bath,overall_quality,0.11109778614230235
overall_quality,basement_full_bath,0.11109778614230235
enclosed_porch,masonry_veneer_area,0.11020383387243517
masonry_veneer_area,enclosed_porch,0.11020383387243517
wood_deck_sq_ft,half_bath,0.10808030267536337
half_bath,wood_deck_sq_ft,0.10808030267536337
garage_year_built_missing,basement_finished_sq_ft_1,0.10804295071884243
basement_finished_sq_ft_1,garage_quality_missing,0.10804295071884243
garage_quality_missing,basement_finished_sq_ft_1,0.10804295071884243
garage_finish_missing,basement_finished_sq_ft_1,0.10804295071884243
basement_finished_sq_ft_1,garage_year_built_missing,0.10804295071884243
basement_finished_sq_ft_1,garage_finish_missing,0.10804295071884243
basement_finished_sq_ft_1,garage_type_missing,0.10804295071884243
garage_type_missing,basement_finished_sq_ft_1,0.10804295071884243
basement_finished_sq_ft_1,garage_condition_missing,0.10804295071884243
garage_condition_missing,basement_finished_sq_ft_1,0.10804295071884243
bedroom_above_ground,fireplaces,0.10756968099132388
fireplaces,bedroom_above_ground,0.10756968099132388
bedroom_above_ground,basement_finished_sq_ft_1,0.10735467682307034
basement_finished_sq_ft_1,bedroom_above_ground,0.10735467682307034
half_bath,garage_condition_missing,0.1072115334717624
garage_year_built_missing,half_bath,0.1072115334717624
half_bath,garage_type_missing,0.1072115334717624
garage_condition_missing,half_bath,0.1072115334717624
garage_quality_missing,half_bath,0.1072115334717624
half_bath,garage_year_built_missing,0.1072115334717624
garage_finish_missing,half_bath,0.1072115334717624
half_bath,garage_quality_missing,0.1072115334717624
half_bath,garage_finish_missing,0.1072115334717624
garage_type_missing,half_bath,0.1072115334717624
fireplace_qu_missing,basement_unf_sq_ft,0.10696680501695852
basement_unf_sq_ft,fireplace_qu_missing,0.10696680501695852
overall_quality,lot_area,0.10580574175496422
lot_area,overall_quality,0.10580574175496422
garage_finish_missing,wood_deck_sq_ft,0.10578481958803812
garage_condition_missing,wood_deck_sq_ft,0.10578481958803812
garage_quality_missing,wood_deck_sq_ft,0.10578481958803812
wood_deck_sq_ft,garage_quality_missing,0.10578481958803812
wood_deck_sq_ft,garage_finish_missing,0.10578481958803812
wood_deck_sq_ft,garage_year_built_missing,0.10578481958803812
wood_deck_sq_ft,garage_type_missing,0.10578481958803812
garage_type_missing,wood_deck_sq_ft,0.10578481958803812
garage_year_built_missing,wood_deck_sq_ft,0.10578481958803812
wood_deck_sq_ft,garage_condition_missing,0.10578481958803812
fireplace_qu_missing,bedroom_above_ground,0.10572071182297982
bedroom_above_ground,fireplace_qu_missing,0.10572071182297982
lot_area,masonry_veneer_area,0.10415982154021264
masonry_veneer_area,lot_area,0.10415982154021264
bedroom_above_ground,masonry_veneer_area,0.10282115127801787
masonry_veneer_area,bedroom_above_ground,0.10282115127801787
basement_finished_sq_ft_1,enclosed_porch,0.10230330550073197
enclosed_porch,basement_finished_sq_ft_1,0.10230330550073197
lot_frontage,garage_type_missing,0.1018083071534856
lot_frontage,garage_year_built_missing,0.1018083071534856
garage_condition_missing,lot_frontage,0.1018083071534856
lot_frontage,garage_finish_missing,0.1018083071534856
garage_finish_missing,lot_frontage,0.1018083071534856
lot_frontage,garage_condition_missing,0.1018083071534856
garage_type_missing,lot_frontage,0.1018083071534856
garage_quality_missing,lot_frontage,0.1018083071534856
garage_year_built_missing,lot_frontage,0.1018083071534856
lot_frontage,garage_quality_missing,0.1018083071534856
overall_quality,bedroom_above_ground,0.1016763562417855
bedroom_above_ground,overall_quality,0.1016763562417855
screen_porch,ground_liv_area,0.10151039568208567
ground_liv_area,screen_porch,0.10151039568208567
lot_frontage,basement_full_bath,0.10094856694926875
basement_full_bath,lot_frontage,0.10094856694926875
ground_liv_area,kitchen_above_ground,0.10006316473775474
kitchen_above_ground,ground_liv_area,0.10006316473775474
enclosed_porch,total_basement_sq_ft,0.09547773670640776
total_basement_sq_ft,enclosed_porch,0.09547773670640776
enclosed_porch,half_bath,0.09531652573608992
half_bath,enclosed_porch,0.09531652573608992
bedroom_above_ground,open_porch_sq_ft,0.09380957160591452
open_porch_sq_ft,bedroom_above_ground,0.09380957160591452
enclosed_porch,open_porch_sq_ft,0.09307931750864903
open_porch_sq_ft,enclosed_porch,0.09307931750864903
2nd_floor_sq_ft,wood_deck_sq_ft,0.09216541758603868
wood_deck_sq_ft,2nd_floor_sq_ft,0.09216541758603868
kitchen_above_ground,wood_deck_sq_ft,0.09013027267903444
wood_deck_sq_ft,kitchen_above_ground,0.09013027267903444
1st_floor_sq_ft,screen_porch,0.08875807262015682
screen_porch,1st_floor_sq_ft,0.08875807262015682
lot_frontage,wood_deck_sq_ft,0.0885209332894081
wood_deck_sq_ft,lot_frontage,0.0885209332894081
age_house_when_sold,lot_frontage,0.08832402598257463
lot_frontage,age_house_when_sold,0.08832402598257463
garage_year_built_missing,tot_rooms_above_ground,0.08828482152767195
tot_rooms_above_ground,garage_type_missing,0.08828482152767195
garage_quality_missing,tot_rooms_above_ground,0.08828482152767195
tot_rooms_above_ground,garage_year_built_missing,0.08828482152767195
tot_rooms_above_ground,garage_condition_missing,0.08828482152767195
garage_finish_missing,tot_rooms_above_ground,0.08828482152767195
garage_condition_missing,tot_rooms_above_ground,0.08828482152767195
garage_type_missing,tot_rooms_above_ground,0.08828482152767195
tot_rooms_above_ground,garage_finish_missing,0.08828482152767195
tot_rooms_above_ground,garage_quality_missing,0.08828482152767195
bedroom_above_ground,garage_cars,0.08610643768835287
garage_cars,bedroom_above_ground,0.08610643768835287
masonry_veneer_area,basement_full_bath,0.08530982868972814
basement_full_bath,masonry_veneer_area,0.08530982868972814
lot_area,open_porch_sq_ft,0.08477380884021642
open_porch_sq_ft,lot_area,0.08477380884021642
screen_porch,total_basement_sq_ft,0.08448898591431157
total_basement_sq_ft,screen_porch,0.08448898591431157
enclosed_porch,screen_porch,0.08286424483260343
screen_porch,enclosed_porch,0.08286424483260343
kitchen_above_ground,basement_finished_sq_ft_1,0.08100685077857439
basement_finished_sq_ft_1,kitchen_above_ground,0.08100685077857439
basement_full_bath,fireplace_qu_missing,0.08062896130815111
fireplace_qu_missing,basement_full_bath,0.08062896130815111
2nd_floor_sq_ft,lot_frontage,0.08017727062420475
lot_frontage,2nd_floor_sq_ft,0.08017727062420475
age_garage_when_sold,screen_porch,0.07593673637471514
screen_porch,age_garage_when_sold,0.07593673637471514
screen_porch,open_porch_sq_ft,0.07430394385024312
open_porch_sq_ft,screen_porch,0.07430394385024312
screen_porch,wood_deck_sq_ft,0.07418135123983237
wood_deck_sq_ft,screen_porch,0.07418135123983237
garage_year_built_missing,lot_area,0.07401457947836093
lot_area,garage_year_built_missing,0.07401457947836093
lot_area,garage_finish_missing,0.07401457947836093
garage_quality_missing,lot_area,0.07401457947836093
lot_area,garage_quality_missing,0.07401457947836093
garage_type_missing,lot_area,0.07401457947836093
lot_area,garage_condition_missing,0.07401457947836093
garage_finish_missing,lot_area,0.07401457947836093
lot_area,garage_type_missing,0.07401457947836093
garage_condition_missing,lot_area,0.07401457947836093
screen_porch,half_bath,0.0724258451703809
half_bath,screen_porch,0.0724258451703809
2nd_floor_sq_ft,age_garage_when_sold,0.07239069935273437
age_garage_when_sold,2nd_floor_sq_ft,0.07239069935273437
kitchen_above_ground,open_porch_sq_ft,0.07009060989258609
open_porch_sq_ft,kitchen_above_ground,0.07009060989258609
age_garage_when_sold,lot_frontage,0.06955861409449297
lot_frontage,age_garage_when_sold,0.06955861409449297
total_basement_sq_ft,kitchen_above_ground,0.06890064264201659
kitchen_above_ground,total_basement_sq_ft,0.06890064264201659
half_bath,kitchen_above_ground,0.06826254889694101
kitchen_above_ground,half_bath,0.06826254889694101
kitchen_above_ground,1st_floor_sq_ft,0.06810058817691335
1st_floor_sq_ft,kitchen_above_ground,0.06810058817691335
basement_full_bath,open_porch_sq_ft,0.06734146137698176
open_porch_sq_ft,basement_full_bath,0.06734146137698176
garage_quality_missing,screen_porch,0.06548761115451437
screen_porch,garage_quality_missing,0.06548761115451437
garage_finish_missing,screen_porch,0.06548761115451437
garage_condition_missing,screen_porch,0.06548761115451437
garage_year_built_missing,screen_porch,0.06548761115451437
garage_type_missing,screen_porch,0.06548761115451437
screen_porch,garage_condition_missing,0.06548761115451437
screen_porch,garage_type_missing,0.06548761115451437
screen_porch,garage_finish_missing,0.06548761115451437
screen_porch,garage_year_built_missing,0.06548761115451437
enclosed_porch,1st_floor_sq_ft,0.0652917009103091
1st_floor_sq_ft,enclosed_porch,0.0652917009103091
bedroom_above_ground,garage_area,0.06525252989881626
garage_area,bedroom_above_ground,0.06525252989881626
screen_porch,overall_quality,0.06488636049351544
overall_quality,screen_porch,0.06488636049351544
basement_full_bath,full_bath,0.06451204863131507
full_bath,basement_full_bath,0.06451204863131507
kitchen_above_ground,garage_area,0.06443304718314395
garage_area,kitchen_above_ground,0.06443304718314395
bedroom_above_ground,age_garage_when_sold,0.06273934896851928
age_garage_when_sold,bedroom_above_ground,0.06273934896851928
basement_finished_sq_ft_1,screen_porch,0.06202062266534991
screen_porch,basement_finished_sq_ft_1,0.06202062266534991
enclosed_porch,2nd_floor_sq_ft,0.06198869077325203
2nd_floor_sq_ft,enclosed_porch,0.06198869077325203
enclosed_porch,garage_quality_missing,0.06178866908195788
enclosed_porch,garage_condition_missing,0.06178866908195788
garage_type_missing,enclosed_porch,0.06178866908195788
enclosed_porch,garage_finish_missing,0.06178866908195788
garage_quality_missing,enclosed_porch,0.06178866908195788
enclosed_porch,garage_year_built_missing,0.06178866908195788
garage_year_built_missing,enclosed_porch,0.06178866908195788
garage_condition_missing,enclosed_porch,0.06178866908195788
enclosed_porch,garage_type_missing,0.06178866908195788
garage_finish_missing,enclosed_porch,0.06178866908195788
screen_porch,masonry_veneer_area,0.06146554318732188
masonry_veneer_area,screen_porch,0.06146554318732188
garage_condition_missing,2nd_floor_sq_ft,0.060821104324909676
garage_finish_missing,2nd_floor_sq_ft,0.060821104324909676
garage_year_built_missing,2nd_floor_sq_ft,0.060821104324909676
2nd_floor_sq_ft,garage_year_built_missing,0.060821104324909676
garage_type_missing,2nd_floor_sq_ft,0.060821104324909676
2nd_floor_sq_ft,garage_quality_missing,0.060821104324909676
garage_quality_missing,2nd_floor_sq_ft,0.060821104324909676
2nd_floor_sq_ft,garage_finish_missing,0.060821104324909676
2nd_floor_sq_ft,garage_condition_missing,0.060821104324909676
2nd_floor_sq_ft,garage_type_missing,0.060821104324909676
tot_rooms_above_ground,screen_porch,0.059382599559410935
screen_porch,tot_rooms_above_ground,0.059382599559410935
kitchen_above_ground,2nd_floor_sq_ft,0.05930575264821624
2nd_floor_sq_ft,kitchen_above_ground,0.05930575264821624
wood_deck_sq_ft,open_porch_sq_ft,0.058660608565887375
open_porch_sq_ft,wood_deck_sq_ft,0.058660608565887375
full_bath,basement_finished_sq_ft_1,0.058543136861595194
basement_finished_sq_ft_1,full_bath,0.058543136861595194
lot_frontage,half_bath,0.05353185497960593
half_bath,lot_frontage,0.05353185497960593
tot_rooms_above_ground,basement_full_bath,0.0532752361233972
basement_full_bath,tot_rooms_above_ground,0.0532752361233972
screen_porch,kitchen_above_ground,0.05161336606147979
kitchen_above_ground,screen_porch,0.05161336606147979
basement_unf_sq_ft,fireplaces,0.0515748822895418
fireplaces,basement_unf_sq_ft,0.0515748822895418
garage_area,screen_porch,0.05141176244520852
screen_porch,garage_area,0.05141176244520852
2nd_floor_sq_ft,lot_area,0.05098594829349377
lot_area,2nd_floor_sq_ft,0.05098594829349377
garage_cars,kitchen_above_ground,0.05063389240221729
kitchen_above_ground,garage_cars,0.05063389240221729
garage_cars,screen_porch,0.05049379192719834
screen_porch,garage_cars,0.05049379192719834
total_basement_sq_ft,bedroom_above_ground,0.05044995551267818
bedroom_above_ground,total_basement_sq_ft,0.05044995551267818
enclosed_porch,basement_full_bath,0.049910649083753186
basement_full_bath,enclosed_porch,0.049910649083753186
half_bath,total_basement_sq_ft,0.04880373863521248
total_basement_sq_ft,half_bath,0.04880373863521248
age_garage_when_sold,fireplaces,0.047877168656295606
fireplaces,age_garage_when_sold,0.047877168656295606
bedroom_above_ground,wood_deck_sq_ft,0.04685377306989394
wood_deck_sq_ft,bedroom_above_ground,0.04685377306989394
basement_finished_sq_ft_1,tot_rooms_above_ground,0.044315623912920654
tot_rooms_above_ground,basement_finished_sq_ft_1,0.044315623912920654
screen_porch,bedroom_above_ground,0.044299691127134826
bedroom_above_ground,screen_porch,0.044299691127134826
lot_area,screen_porch,0.04316037769525204
screen_porch,lot_area,0.04316037769525204
garage_quality_missing,basement_full_bath,0.04298803032211349
garage_condition_missing,basement_full_bath,0.04298803032211349
basement_full_bath,garage_type_missing,0.04298803032211349
basement_full_bath,garage_quality_missing,0.04298803032211349
basement_full_bath,garage_condition_missing,0.04298803032211349
basement_full_bath,garage_year_built_missing,0.04298803032211349
garage_type_missing,basement_full_bath,0.04298803032211349
basement_full_bath,garage_finish_missing,0.04298803032211349
garage_finish_missing,basement_full_bath,0.04298803032211349
garage_year_built_missing,basement_full_bath,0.04298803032211349
bedroom_above_ground,enclosed_porch,0.04157043451959824
enclosed_porch,bedroom_above_ground,0.04157043451959824
kitchen_above_ground,basement_full_bath,0.041502546431482885
basement_full_bath,kitchen_above_ground,0.041502546431482885
lot_frontage,screen_porch,0.04138279067500582
screen_porch,lot_frontage,0.04138279067500582
half_bath,basement_unf_sq_ft,0.04111753014455172
basement_unf_sq_ft,half_bath,0.04111753014455172
screen_porch,2nd_floor_sq_ft,0.040606447641001006
2nd_floor_sq_ft,screen_porch,0.040606447641001006
age_house_when_sold,screen_porch,0.039429548515063625
screen_porch,age_house_when_sold,0.039429548515063625
garage_condition_missing,open_porch_sq_ft,0.03837540958318665
open_porch_sq_ft,garage_finish_missing,0.03837540958318665
garage_year_built_missing,open_porch_sq_ft,0.03837540958318665
open_porch_sq_ft,garage_type_missing,0.03837540958318665
open_porch_sq_ft,garage_year_built_missing,0.03837540958318665
garage_quality_missing,open_porch_sq_ft,0.03837540958318665
garage_type_missing,open_porch_sq_ft,0.03837540958318665
open_porch_sq_ft,garage_condition_missing,0.03837540958318665
open_porch_sq_ft,garage_quality_missing,0.03837540958318665
garage_finish_missing,open_porch_sq_ft,0.03837540958318665
age_house_when_sold,bedroom_above_ground,0.0382798891651964
bedroom_above_ground,age_house_when_sold,0.0382798891651964
enclosed_porch,fireplace_qu_missing,0.03791795630078409
fireplace_qu_missing,enclosed_porch,0.03791795630078409
kitchen_above_ground,masonry_veneer_area,0.03761025181986861
masonry_veneer_area,kitchen_above_ground,0.03761025181986861
kitchen_above_ground,enclosed_porch,0.03731238503296963
enclosed_porch,kitchen_above_ground,0.03731238503296963
ground_liv_area,basement_full_bath,0.03483604954490554
basement_full_bath,ground_liv_area,0.03483604954490554
garage_condition_missing,basement_unf_sq_ft,0.03292389255387375
garage_year_built_missing,basement_unf_sq_ft,0.03292389255387375
basement_unf_sq_ft,garage_finish_missing,0.03292389255387375
garage_finish_missing,basement_unf_sq_ft,0.03292389255387375
garage_type_missing,basement_unf_sq_ft,0.03292389255387375
basement_unf_sq_ft,garage_type_missing,0.03292389255387375
garage_quality_missing,basement_unf_sq_ft,0.03292389255387375
basement_unf_sq_ft,garage_condition_missing,0.03292389255387375
basement_unf_sq_ft,garage_quality_missing,0.03292389255387375
basement_unf_sq_ft,garage_year_built_missing,0.03292389255387375
half_bath,basement_full_bath,0.030904959142533293
basement_full_bath,half_bath,0.030904959142533293
kitchen_above_ground,basement_unf_sq_ft,0.030085868314000126
basement_unf_sq_ft,kitchen_above_ground,0.030085868314000126
fireplaces,enclosed_porch,0.02482186853706847
enclosed_porch,fireplaces,0.02482186853706847
lot_area,age_garage_when_sold,0.024167681574198862
age_garage_when_sold,lot_area,0.024167681574198862
basement_full_bath,screen_porch,0.023147725763573802
screen_porch,basement_full_bath,0.023147725763573802
enclosed_porch,lot_area,0.018339733672212328
lot_area,enclosed_porch,0.018339733672212328
lot_area,kitchen_above_ground,0.017783870504841995
kitchen_above_ground,lot_area,0.017783870504841995
age_house_when_sold,lot_area,0.014611385549691148
lot_area,age_house_when_sold,0.014611385549691148
half_bath,lot_area,0.014259468566431947
lot_area,half_bath,0.014259468566431947
screen_porch,basement_unf_sq_ft,0.012579273444256824
basement_unf_sq_ft,screen_porch,0.012579273444256824
enclosed_porch,lot_frontage,0.01070033663888244
lot_frontage,enclosed_porch,0.01070033663888244
enclosed_porch,ground_liv_area,0.009113210326003087
ground_liv_area,enclosed_porch,0.009113210326003087
full_bath,screen_porch,0.00810609332811188
screen_porch,full_bath,0.00810609332811188
bedroom_above_ground,garage_year_built_missing,0.006672119199677537
garage_type_missing,bedroom_above_ground,0.006672119199677537
bedroom_above_ground,garage_quality_missing,0.006672119199677537
bedroom_above_ground,garage_finish_missing,0.006672119199677537
bedroom_above_ground,garage_condition_missing,0.006672119199677537
bedroom_above_ground,garage_type_missing,0.006672119199677537
garage_year_built_missing,bedroom_above_ground,0.006672119199677537
garage_quality_missing,bedroom_above_ground,0.006672119199677537
garage_finish_missing,bedroom_above_ground,0.006672119199677537
garage_condition_missing,bedroom_above_ground,0.006672119199677537
lot_frontage,kitchen_above_ground,0.0060688301613090875
kitchen_above_ground,lot_frontage,0.0060688301613090875
wood_deck_sq_ft,basement_unf_sq_ft,0.005316424333062066
basement_unf_sq_ft,wood_deck_sq_ft,0.005316424333062066
2nd_floor_sq_ft,basement_unf_sq_ft,0.004469092144542392
basement_unf_sq_ft,2nd_floor_sq_ft,0.004469092144542392
half_bath,basement_finished_sq_ft_1,0.004262424384486936
basement_finished_sq_ft_1,half_bath,0.004262424384486936
tot_rooms_above_ground,enclosed_porch,0.004151299023856323
enclosed_porch,tot_rooms_above_ground,0.004151299023856323
basement_unf_sq_ft,lot_area,0.00261835995009543
lot_area,basement_unf_sq_ft,0.00261835995009543
basement_unf_sq_ft,enclosed_porch,0.002537854589751547
enclosed_porch,basement_unf_sq_ft,0.002537854589751547
garage_type_missing,age_garage_when_sold,
garage_year_built_missing,age_garage_when_sold,
garage_finish_missing,age_garage_when_sold,
garage_quality_missing,age_garage_when_sold,
garage_condition_missing,age_garage_when_sold,
age_garage_when_sold,garage_type_missing,
age_garage_when_sold,garage_year_built_missing,
age_garage_when_sold,garage_finish_missing,
age_garage_when_sold,garage_quality_missing,
age_garage_when_sold,garage_condition_missing,
